I, [2023-01-09T17:32:15.478412 #3884]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.3.2)
E, [2023-01-09T17:32:15.484066 #3884] ERROR -- Kitchen: ------Exception-------
E, [2023-01-09T17:32:15.484697 #3884] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2023-01-09T17:32:15.484825 #3884] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/raj/Desktop/lcr-policyfiles-getstarted/kitchen.yml does not exist.
E, [2023-01-09T17:32:15.484925 #3884] ERROR -- Kitchen: ----------------------
E, [2023-01-09T17:32:15.485018 #3884] ERROR -- Kitchen: ------Backtrace-------
E, [2023-01-09T17:32:15.485106 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2023-01-09T17:32:15.485718 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:153:in `data'
E, [2023-01-09T17:32:15.485819 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:131:in `suites'
E, [2023-01-09T17:32:15.485897 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:183:in `filter_instances'
E, [2023-01-09T17:32:15.485969 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:142:in `build_instances'
E, [2023-01-09T17:32:15.486036 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/config.rb:116:in `instances'
E, [2023-01-09T17:32:15.486103 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2023-01-09T17:32:15.486229 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2023-01-09T17:32:15.486305 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command/action.rb:34:in `block in call'
E, [2023-01-09T17:32:15.486379 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2023-01-09T17:32:15.486452 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/command/action.rb:33:in `call'
E, [2023-01-09T17:32:15.486527 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/cli.rb:52:in `perform'
E, [2023-01-09T17:32:15.486594 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2023-01-09T17:32:15.486664 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2023-01-09T17:32:15.486760 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2023-01-09T17:32:15.486835 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2023-01-09T17:32:15.486903 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2023-01-09T17:32:15.486971 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/bin/kitchen:11:in `block in <top (required)>'
E, [2023-01-09T17:32:15.487039 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2023-01-09T17:32:15.487105 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.2/bin/kitchen:11:in `<top (required)>'
E, [2023-01-09T17:32:15.487264 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:407:in `load'
E, [2023-01-09T17:32:15.487348 #3884] ERROR -- Kitchen: C:/opscode/chef-workstation/bin/kitchen:407:in `<main>'
E, [2023-01-09T17:32:15.487419 #3884] ERROR -- Kitchen: ----End Backtrace-----
